date	xml_link	pdf_link	file
05-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-05/toc_unixml/19280905_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-05/toc_pdf/19280905_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-05/0037%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-05%2F0037%22.html
06-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-06/toc_unixml/19280906_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-06/toc_pdf/19280906_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-06/0046%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-06%2F0046%22.html
06-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-06/toc_unixml/19280906_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-06/toc_pdf/19280906_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-06/0050%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-06%2F0050%22.html
07-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-07/toc_unixml/19280907_senate_10_119_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-07/toc_pdf/19280907_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-07/0004%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-07%2F0004%22.html
11-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-11/toc_unixml/19280911_senate_10_119_v10.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-11/toc_pdf/19280911_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-11/0025%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-11%2F0025%22.html
12-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-12/toc_unixml/19280912_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-12/toc_pdf/19280912_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-12/0032%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-12%2F0032%22.html
12-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-12/toc_unixml/19280912_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-12/toc_pdf/19280912_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-12/0033%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-12%2F0033%22.html
13-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-13/toc_unixml/19280913_senate_10_119_v14.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-13/toc_pdf/19280913_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-13/0037%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-13%2F0037%22.html
14-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-14/toc_unixml/19280914_senate_10_119_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-14/toc_pdf/19280914_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-14/0024%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-14%2F0024%22.html
19-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-19/toc_unixml/19280919_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-19/toc_pdf/19280919_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-19/0063%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-19%2F0063%22.html
